entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-03-19 20:30:00,2009-03-20 01:00:00,LONG,VOLATILE,Cautious Mean Reversion,952.48,957.15,0.08881251576422139,0.41475444861891025,Target Hit,997.1197906954304
2009-03-20 03:30:00,2009-03-20 06:30:00,SHORT,VOLATILE,Cautious Mean Reversion,965.73,953.93,0.08462817002541577,0.9986124062999119,Target Hit,998.1184031017303
2009-03-22 18:00:00,2009-03-22 18:30:00,LONG,VOLATILE,Cautious Mean Reversion,950.7,955.55,0.07858053028162568,0.3811155718658774,Target Hit,998.4995186735962
2009-03-22 21:00:00,2009-03-23 01:00:00,LONG,RANGING,Mean Reversion,951.15,954.08,0.07026905317771275,0.20588832581070282,Target Hit,998.7054069994069
2009-03-23 03:00:00,2009-03-23 05:30:00,SHORT,VOLATILE,Cautious Mean Reversion,956.88,951.1,0.11593410226129967,0.670099111070309,Target Hit,999.3755061104772
2009-03-23 08:30:00,2009-03-23 15:30:00,LONG,VOLATILE,Cautious Mean Reversion,946.53,936.65,0.06999937385560151,-0.6915938136933426,Stop Loss,998.6839122967839
2009-03-23 15:30:00,2009-03-23 21:30:00,LONG,VOLATILE,Cautious Mean Reversion,936.65,942.98,0.046103902454944216,0.2918377025397988,Regime Change,998.9757499993237
2009-03-24 03:00:00,2009-03-24 04:00:00,LONG,VOLATILE,Cautious Mean Reversion,937.43,934.58,0.12786342841452808,-0.3644107709813934,Stop Loss,998.6113392283423
2009-03-24 04:00:00,2009-03-24 06:00:00,LONG,VOLATILE,Cautious Mean Reversion,934.58,931.0,0.10395552402501948,-0.372160776009574,Stop Loss,998.2391784523328
2009-03-24 06:00:00,2009-03-24 08:00:00,LONG,VOLATILE,Cautious Mean Reversion,931.0,924.93,0.07541421256249818,-0.4577642702543677,Stop Loss,997.7814141820784
2009-03-24 08:00:00,2009-03-24 13:30:00,SHORT,TRENDING,Momentum Breakout,924.93,923.9,0.05555617758632905,0.057222862913917406,Regime Change,997.8386370449923
2009-03-24 18:00:00,2009-03-25 05:00:00,SHORT,VOLATILE,Cautious Mean Reversion,930.78,924.28,0.06404576659244049,0.4162974828508632,Target Hit,998.2549345278431
2009-03-25 05:00:00,2009-03-25 06:00:00,LONG,VOLATILE,Cautious Mean Reversion,924.28,921.63,0.12559639447918655,-0.3328304453698415,Stop Loss,997.9221040824733
